Tourist_Spot,Address,Zipcode,Region,BoroName
47th Street - The Diamond District,"47th St. betw. Fifth & Sixth Aves. Manhattan, NY 10036, Midtown West",10036,Midtown West,Manhattan
9/11 Memorial & Museum,"World Trade Center (museum: 180 Greenwich St.) Manhattan, NY 1000, Lower Manhattan",10007,Lower Manhattan,Manhattan
Abyssinian Baptist Church,"132 Odell Clark Place New York, NY 10030, Harlem",10030,Harlem,Manhattan
Alice Austen House Museum,"2 Hylan Blvd. Staten Island, NY 10305, Staten Island",10305,Staten Island,Staten Island
Alice Tully Hall,"1941 Broadway Manhattan, NY 10023, Upper West Side",10023,Upper West Side,Manhattan
Alvin Ailey American Dance Theate,"405 W. 55th St. Manhattan, NY 10019, Midtown West",10019,Midtown West,Manhattan
American Girl Place,"609 Fifth Ave. Manhattan, NY 10017, Midtown East",10017,Midtown East,Manhattan
American Museum of Natural History,"Central Park West at 79th St. Manhattan, NY 10024, Upper West Side",10024,Upper West Side,Manhattan
Apollo Theater,"253 W. 125th St.  Manhattan, NY 10027, Harlem",10027,Harlem,Manhattan
arts>Brookfield Place,"230 Vesey St. Manhattan, NY 10281, Battery Park City",10281,Battery Park City,Manhattan
Barclays Center,"620 Atlantic Ave. Brooklyn, NY 11217, Prospect Heights",11217,Prospect Heights,Brooklyn
Bartow-Pell Mansion Museum,"895 Shore Rd. Bronx, NY 10464, Pelham Bay",10464,Pelham Bay,Bronx
Bateaux New York,"Pier 61, Chelsea Piers (23rd St. & Hudson River) Manhattan, NY 10011, Chelsea",10011,Chelsea,Manhattan
Bronx Brewery,"856 East 136th Street NY 10454, South Bronx",10454,South Bronx,Bronx
Bronx Library Center,"310 E. Kingsbridge Rd. Bronx, NY 10458, Fordham",10458,Fordham,Bronx
Bronx Zoo,"2300 Southern Blvd. Bronx, NY 10460, Fordham",10460,Fordham,Bronx
Brooklyn Botanic Garden,"1000 Washington Ave. Brooklyn, NY 11225, Prospect Heights",11225,Prospect Heights,Brooklyn
Brooklyn Bridge,"Tillary St Brooklyn, NY 11201,Downtown Brooklyn",11201,Downtown Brooklyn,Brooklyn
Brooklyn Heights Promenade,"Brooklyn-Queens Expressway Brooklyn , NY 11201, Brooklyn Heights",11201,Brooklyn Heights,Brooklyn
Brooklyn Historical Society,"128 Pierrepont St. Brooklyn, NY 11201, Brooklyn Heights",11201,Brooklyn Heights,Brooklyn
Brooklyn Navy Yard,"63 Flushing Ave, bldg 292, unit 300 (main office) Brooklyn, NY 11205, Navy Yard",11205,Navy Yard,Brooklyn
Brooklyn Nets,"The Barclays Center, 620 Atlantic Ave. Brooklyn, NY 11217, Prospect Heights",11217,Prospect Heights,Brooklyn
Brooklyn Public Library,"Grand Army Plaza at Flatbush Ave Brooklyn, NY 11238, Park Slope",11238,Park Slope,Brooklyn
Calvary Cemetery,"49-02 Laurel Hill Blvd. Queens, NY 11377, Woodside",11377,Woodside,Queens
Carnegie Hall,"57th St. and Seventh Ave. Manhattan, NY 10019, Midtown West",10019,Midtown West,Manhattan
Cathedral Church of St. John the Divine,"1047 Amsterdam Ave. Manhattan, NY 10025, Morningside Heights",10025,Morningside Heights,Manhattan
Central Park Conservancy—Official Central Park Tours,"14 E. 60th St., 8th fl. New York, NY 10022, Upper East Side",10022,Upper East Side,Manhattan
Charles A. Dana Discovery Center/Harlem Meer,"106th to 110th Sts on the east side of the park Manhattan, NY 10029, Central Park",10029,Central Park,Manhattan
Chelsea Craft Brewing Company,"463 East 173rd Street NY 10457, The Bronx",10457,The Bronx,Bronx
Chelsea Piers Sports & Entertainment Complex,"23rd St. & Hudson River Park Manhattan, NY 10011, Chelsea",10011,Chelsea,Manhattan
Chrysler Building,"405 Lexington Ave Manhattan, NY, Midtown East",10174,Midtown East,Manhattan
Circle Line Downtown,"Pier 16 at S. St. Seaport Manhattan, NY 10038, Lower Manhattan",10038,Lower Manhattan,Manhattan
Circle Line Sightseeing Cruises,"Pier 83, 42nd St. and Twelfth Ave. Manhattan, NY 10036, Hells Kitchen",10036,Hells Kitchen,Manhattan
City Hall,"City Hall  Broadway and Murray St. Manhattan, NY 10007, Lower Manhattan",10007,Lower Manhattan,Manhattan
City Hall Park,"Broadway and Chambers St Manhattan, NY 10007, Lower Manhattan",10007,Lower Manhattan,Manhattan
Classic Harbor Line LLC,"Chelsea Piers, Pier 62 (22nd St. & Hudson River) Manhattan, NY 10011, Chelsea",10011,Chelsea,Manhattan
Clove Lakes Park,"1150 Clove Rd. Staten Island, NY, Randall Manor",10301,Randall Manor,Staten Island
Coney Island Brewing Company,"1904 Surf Ave. Brooklyn, NY 11224, Coney Island",11224,Coney Island,Brooklyn
Coney Island Circus Sideshow,"Surf Avenue Brooklyn, NY 11224, Coney Island",11224,Coney Island,Brooklyn
Delacorte Theate,"Mid-park at 80th St Manhattan, NY 10024, Central Park",10024,Central Park,Manhattan
Douglaston Golf Course,"6320 Marathon Pkwy Queens, NY 11363, Bayside",11363,Bayside,Queens
Duffy Square,"46th and Broadway  47th and 7th Avenue New York, NY, Times Square/Theatre District",10036,Times Square/Theatre District,Manhattan
Ellis Island,"New York Harbor Manhattan, NY 10004, Lower Manhattan",10004,Lower Manhattan,Manhattan
Ellis Island National Museum of Immigration,"Ellis Island, New York Harbor Manhattan, NY 10004, Battery Park City",10004,Battery Park City,Manhattan
Ellis Island/American Family Immigration History Center,"Ellis Island, New York Harbor Manhattan, NY 10004, Battery Park City",10004,Battery Park City,Manhattan
Empire State Building Experience,"350 Fifth Ave. Manhattan, NY 10118, Herald Square",10118,Herald Square,Manhattan
FDNY Fire Zone,"34 W. 51st St. Manhattan, NY 10020, Midtown West",10020,Midtown West,Manhattan
Flatiron Building,"175 5th Ave Manhattan, NY, Flatiron District",10010,Flatiron District,Manhattan
Flushing Meadows Corona Park,"111th Street to Van Wyck Expressway Queens, NY 11375, Flushing",11375,Flushing,Queens
Fort Tryon Park,"Between Riverside Drive, Broadway, Dyckman Street and West 192nd Street New York, NY 10040, Washington Heights/Inwood",10040,Washington Heights/Inwood,Manhattan
Governors Island,"Governors Island New York, NY 10004, Governors Island",10004,Governors Island,Manhattan
Gramercy Park,"E 20th St to E 21st St bet Gramercy Park West and Gramercy Park East Manhattan, NY 10010, Gramercy",10010,Gramercy,Manhattan
Grand Army Plaza,"Fifth Avenue and W 59th Street Manhattan, NY, Midtown East",10019,Midtown East,Manhattan
Grand Army Plaza Memorial Arch,"Grand Army Plaza at Eastern Parkway Brooklyn, NY 11238, Prospect Heights",11238,Prospect Heights,Brooklyn
Grand Central Terminal,"15 Vanderbilt Ave., Hall 2A Manhattan, NY 10017, Midtown East",10017,Midtown East,Manhattan
Green-Wood Cemetery,"500 25th St. Brooklyn, NY 11232, Sunset Park",11232,Sunset Park,Brooklyn
Greenbelt Nature Center,"700 Rockland Ave Staten Island, NY 10314, New Dorp",10314,New Dorp,Staten Island
Gulliver's Gate,"216 W. 44th St. Manhattan, NY 10036 Times Square/Theatre District",10036,NY 10036 Times Square/Theatre District,Manhattan
Hell Gate Bridge,"Hell gate bridge Manhattan, NY, South Bronx",11105,South Bronx,Bronx
Hershey's Chocolate World Times Square,"1593 Broadway Manhattan, NY 10019, Times Square/Theatre District",10019,Times Square/Theatre District,Manhattan
Historic Richmond Town,"441 Clarke Ave. Staten Island, NY 10306 Richmond Town",10306,NY 10306 Richmond Town,Staten Island
